Clndrs,Volume,HpX,Model,origin,Lbs-,Acc+,Mpg+
4.0,98,61.0,78.0,1.0,1917.5,14,35.0
4.0,143.5,83.0,79.0,1.0,3032.5,16.5,15.0
4,121.0,86.0,79.5,1.0,2550.0,14.0,30
4.0,126.0,70,79,1.0,2200,13,25.0
4.0,108.5,72.0,79.5,1.0,2350.0,13.5,30
4.0,98,80.0,79.0,1.0,1890.0,14.5,40.0
4.0,99.0,72.0,82.0,3.0,2090.0,16.5,30.0
3.0,67.0,53.0,82.5,3.0,1595.0,16.0,35.0
4.0,91,81.0,82,3.0,2235.0,16.5,40.0
4.0,75.0,57.0,82,4.0,1965,15.5,40.0
4,117.5,81.0,82.0,3.0,1995,13.5,35.0
5.0,134.5,101.5,81.5,3.0,2687.5,13.0,30.0
3.0,108,70,82.5,3.0,1792.5,18.0,35.0
4.0,120,88,82,3.0,2022.5,14.5,40.0
3.0,130.0,83.0,77.0,2.0,2347.0,14.5,30.0
6,119.5,120,81.0,3.0,2580.0,14.0,20.0
6.0,168,130.0,81.0,3.0,3220.0,12,25.0
4.0,140,89.5,71.0,1,2234.0,13.5,30.0
6.5,155.5,109.5,80.5,2.0,3475.0,21.0,35.0
5,101.0,66.0,80.0,2,2465.0,16.5,40.0
3.0,141,42.0,81.0,2.0,2810.0,18.0,30.0
4.5,113.0,70.5,81.5,2.0,2360.0,17.5,45.0
4,117.0,78.5,81.5,2.0,2295.0,14.0,25.0
4,108.0,-3.5,80.0,2.0,2805.0,17.0,30.0
4.0,98.0,76.0,80,2.0,2019.0,13.0,40
4,93.5,52,82.0,2.0,2078.5,24,40
4.0,99.5,102.0,80.0,2.0,2188,15,30.0
4.0,96.5,86.0,80.0,2.0,2489.5,21.5,40.0
4.0,96.0,48,81.0,2.0,2232.5,24.5,40.0
4.0,86.5,38.0,80,2.0,1720.0,13.0,30.0
4,85.0,0,80,2.0,1710.0,16.0,40.0
4.0,124.5,102.0,75,2.0,2946.5,14.0,20.0
4.0,90.0,66.5,76,2.0,1879.5,13.0,30.0
4.0,77.0,71,76.0,2.0,1825,11.5,35.0
4.0,98.5,74.5,76.5,2.0,1839.5,16.0,35.0
4.0,109.0,92.0,76,2,2652.5,16.5,30.0
4.0,116.0,84.5,76.5,2,2277.5,17.0,30.0
4,135.5,88,75.5,2,3774.0,21.0,15.0
4.0,125.5,104.5,76.0,2.0,3272.0,14.5,20.0
4,81.0,60.5,76.5,2.0,1831.0,18.5,40.0
4.0,94.5,69.5,77.5,2.0,1577.5,14,35.0
4.0,97,88.5,77.0,2,2655.0,13.5,30
4.0,130.0,120.0,77.0,2.0,2657.5,10.0,20
4.0,89,71,79.5,2.0,2110.0,14.5,30.0
4.0,107.5,69,79.5,2.0,2417.5,14.5,45.0
4.0,73.0,51.0,77.0,2.0,1732.5,17.0,30.0
4,118.5,48,78.5,2,2647.5,24.5,40
4.0,122,88.0,80.5,2.0,2467.5,15.0,40.0
4.0,146,68.0,79.5,2.0,3180.0,21.0,30
4.5,111.0,139.0,77.5,2.0,2600.0,15,15.0
4.5,172.0,52.0,79.5,2,3190,26.5,35.0
5,133.5,103,77.0,2.0,2830,15.5,20.0
5,162.0,77,79,2.0,3222.5,20.0,30.0
7.0,163,160.0,77.5,2.0,3385.0,9.5,15.0
5.5,168.0,109.0,78.5,2.0,3140,17.5,25.0
5.0,147.0,115.0,76,2,3647.5,17.0,20.0
4.0,91.5,67,74.5,2.0,2302.5,13.5,25.0
4.0,87.0,67.5,74,2,2158.5,15.5,25.0
4,90,84.5,74.0,2,2147.0,15.0,20
4.0,108.5,88.0,74.0,2.0,2497.5,13.5,25.0
4.0,65.0,52.0,74.0,2.0,1826.5,17.5,25.0
4.0,97,36.0,73.0,2,1752.5,21,35.0
4.0,100.5,108.5,73.0,2.0,2620.0,15.0,30.0
4.0,108.5,82.0,72.5,2,2582,15.5,20.0
4,104.0,43.0,73.0,2.0,1803.0,18.5,25.0
4.0,111.0,109.0,73,2.0,2868,16.5,25.0
4,126.5,119.0,73.5,2.0,2660,12.5,20.0
4,122.5,69,72.0,2.0,2189,15.5,25.0
4.0,118.0,46,70,2.0,1915.0,16.5,30.0
4.0,111.0,106.5,70.0,2.0,2375,17,30
4.0,107,102.5,70,2.0,2430,13.0,20.0
4.0,101.0,99.0,70.5,2,2672,16.5,30
4.0,117.5,88.5,70.0,2.0,1964.0,13.5,30.0
4.0,72.0,58.5,71.0,2.0,2172.0,20.0,25.0
4.0,100.0,76,71.0,2,2404.5,14,30
4.0,109.0,71.0,71.0,2.0,1962.5,19,30.0
4.0,111.5,90,71,2,2028.5,9.5,35.0
4,95.0,55.5,72,2,1826.0,23,25.0
4.0,132.0,116.0,72.0,2.0,3318.5,14.5,20.0
4,121,104.0,72.0,2.0,2817.5,16.5,20.0
4.0,137.5,94.0,72.5,2.0,2945.0,18,15.0
4.0,118.0,71.5,81.0,3.0,2527.5,16.5,30.0
4.0,119,100,80.5,3,2662.5,14,30
4.0,96.5,71.5,80.5,3,2105.0,16.0,30
4.0,118.0,78.5,80.5,3.0,2367.5,13.0,25.0
4,105.0,67,80.5,3.0,2257.5,18.0,25.0
4.0,85.5,64.0,80.5,3.0,1882.5,17.0,30.0
4.0,89,58.0,81,3.0,1937.5,17.0,45.0
4.0,77.0,65,81,3.0,1822.5,18.5,45.0
4.0,72.0,53.5,81.0,3.0,1680.0,16,45.0
4.0,73.5,45.5,81,3.0,1622.5,17.0,40.0
4.0,92.5,69.0,80.0,3.0,1965.0,17,30.0
4.0,97,65.5,80,3.0,2145,19.5,30.0
4.0,120.0,81.0,73.5,2.0,2246,14.0,30.0
4.0,95.5,86.5,74.0,2.0,2087.5,16,30.0
4,132.0,115,75,2,3040.0,13.5,30
4.0,120,88,74.5,2.0,2957,16.0,20.0
4,103.5,95,74.5,2.0,2468.0,16.5,20.0
4.0,99.0,71,75.0,2.0,2236.5,15.0,30.0
4,97.5,52.5,75,2.0,1782.0,17.5,40.0
4.0,91,64.5,80,3,1779.0,12.5,40.0
4.0,86.0,59.0,80.0,3.0,2098.0,21.0,40.0
4.0,84.5,67.5,80.0,3.0,2090.0,15.5,45.0
4.0,84.0,62.5,82.5,3,2151.0,18.0,55.0
4.0,85,65,80,3.0,2110,19,40
3.0,67.5,100,80.0,3.0,2550.0,14.0,25.0
4.5,97.5,72.0,69.5,3,1851.5,14,35.0
3.5,91.5,96.0,70.5,3.0,2423.0,15,15.0
4,84.5,64.0,69.5,3.0,1776.0,19.5,35.0
4.0,64.0,65.5,71.0,3.0,1492.0,17.5,40
4.0,76.5,75.0,71.5,3.0,2130,15.5,40.0
4.0,113.0,95.0,72.0,3,2213.0,14,30.0
3,83.0,97,72.0,3.0,2330,10.5,20
4.0,89.0,86.5,72.0,3,2105.0,17.0,35.0
4.0,93.5,91.0,71.0,3,2221.0,17,30.0
4,125.5,95,72.0,3.0,2536.5,13.0,15.0
4,98.5,94.5,72,3.0,2382.0,13.0,20.0
3.0,57.5,78.5,72.5,3,2124,13.5,25.0
4,108,94,73.5,3.0,2379,15.0,20.0
4.0,90.0,88.5,72.5,3.0,2172.5,20.0,20.0
4.0,145.5,114.5,74.5,3,2838.5,12.0,15.0
4.0,113.5,96.0,74.0,3.0,2441.0,13.5,30.0
4.0,134,96,75,3,2702,13,20
4.0,70.0,61,73.0,3.0,1841.5,20.5,30
4.5,124.5,68.5,74.0,3.0,2082.5,19.0,20
4,68.5,55.5,73.5,3.0,1689.0,19,30.0
4.0,86.0,46.0,74.5,3.0,1628.5,14.0,30.0
4.0,74.0,76.0,74.0,3,2024.0,21,30.0
4,97,91.0,75,3.0,2525.5,14.0,30
3.5,91.5,74.5,76.5,3.0,2180.0,14.0,25.0
3.0,69.0,99.0,77.0,3.0,2533.0,12.5,20
4.0,101.5,75,80.5,3.0,2265,15,30.0
4.0,119,90.5,80.5,3,2434,16.5,40.0
4.0,126.5,75,80.0,3.0,2449.5,15.5,30
4.0,123.5,90,80.0,3.0,2628.5,15,30.0
4,78.0,57.5,79,3.0,1935.5,19,30
4.0,86,83.5,79.0,3.0,2277.5,14.0,20.0
4.0,78,49.5,78.5,3.0,1960.0,19.5,25.0
4.0,85,58.0,77.0,3.0,1920.5,18,35.0
4.0,91,45.5,78.0,3,1717.5,17.0,40.0
4.0,97.5,70.5,77.5,3.0,2182.5,17.5,35.0
4.0,114.0,93.5,78,3.0,2340.0,14.5,20.0
4.0,101.5,92.0,77.5,3.0,2300,15.0,30.0
4,91.0,72.5,75.5,3.0,2095.0,17,30.0
4,85.0,50.5,76.0,3,1635.0,16.0,30.0
4.0,97.0,71.0,76,3.0,2015.0,15.0,30.0
4,85.0,70,76.5,3.0,1890.0,15.0,30
4,103.0,77.5,76.5,3.0,2370.0,18.0,30.0
4.0,103.0,69.5,77.0,3.0,1985,17.0,30.0
3.0,81.0,49.5,76.0,3.0,1870.0,19.5,30.0
3.0,110.0,80.5,78.0,3.0,2130.0,16.0,20
4.0,140.0,100.0,81.5,3.0,2560,13.0,35.0
7.0,162.0,123.0,72.5,3.0,2957.0,13.0,20.0
7.0,180.0,122.5,76.0,3.0,3315.0,15,15.0
5.0,135.0,83.5,79.5,3.0,2669.0,14,20
6.0,186.0,145.5,80.5,3.0,3145.0,9.0,30
4.0,120.0,79,82,1.0,2547.5,16.5,35.0
3.0,140,79.0,82.0,1.0,2842.5,16.5,25.0
4.0,147.5,88.5,82,1.0,2790,11.5,30.0
4.0,151,-6.5,82,1.0,3035,22.0,20.0
5.0,199.5,104.0,82.0,1,2890.0,18,25.0
4.0,151,95.5,82,1.0,3005.0,17.0,30.0
4.0,146.0,85.5,82.0,1.0,2585,15.0,35.0
6.0,165.5,104.5,82.0,1.0,2945,16.5,30.0
4,120.0,74.0,82.0,1.0,2527.5,16.5,30.0
4.0,132.5,83.0,82.0,1.0,2085.0,10.0,35.0
3.0,120.0,74.0,82.0,1.0,2372.5,13.5,40.0
6.0,237.5,112,82.0,1.0,2920.0,16.0,20.0
4.0,143.0,84,81,1,2632.5,15,30.0
4.0,135,87.0,80.5,1.0,2569.0,14.0,25.0
4.0,159.0,84,81.0,1.0,2635,16.0,30
4.0,158.5,99.5,80.0,1.0,2491.0,14,30.0
4.0,142.5,7.5,79.5,1.0,2999.5,15.5,15.0
4.0,140.0,88.0,80.5,1.0,2870,20.0,30
4.0,143.0,87.0,81.0,1,3003,19.5,20.0
4,143.0,87.0,80.5,1,2369.0,16,30
4,156,105.0,80.5,1.0,2861.0,15.5,30
4,156.5,132.0,79.5,1.0,2535.0,17.0,35.0
4.0,151.0,90,79,1.0,2722.5,13,25.0
4.0,164.0,105,77.0,1.0,2778.0,16,20.0
6.0,215.5,91.0,76.0,1,3012,17.0,20.0
6.0,225.0,100.0,77.0,1.0,3630,19.0,20.0
6,247.0,105,77.0,1.0,3547.5,17.0,20
6,212.5,92.5,78.0,1.0,3197.5,15,20.0
6.0,212.5,102.5,78.0,1.0,3335.0,18.5,20.0
6.0,200.0,92.0,78,1.0,3141.5,16,20
6.0,212.5,107.5,78.5,1.0,3620,18.5,20.0
6.0,225,114.5,79.0,1.0,3734.0,17.5,20.0
6,231.5,157.5,78.5,1.0,3337.5,13.5,20.0
6.0,231.5,97.5,78.5,1,3535,19.5,20
6.0,234.0,102.5,78,1,3282.5,14.0,20.0
6.0,232,90,78.0,1,3185.0,17,20.0
6.0,265.0,85,82,1.0,3032.0,15.5,40.0
6.0,204.0,108.5,81.5,1.0,2702.5,12.0,30.0
6,184.5,100.5,80.5,1.0,3260.0,17,10.0
6.0,206.5,85,80.0,1.0,3648.0,16,10.0
6.0,231,108.5,81.5,1.0,3392.5,15.0,30.0
6,251.0,90,80,1.0,3751.0,20.0,20.0
6.0,144.0,97.5,79.5,1.0,2490.0,13.5,30.0
6,186.5,117.5,78.5,1.0,2677.5,11.0,30.0
6.0,200,87.5,79.0,1.0,2932.5,17.5,20.0
6,254.0,110.0,79,1.0,3632.5,17.5,15.0
6.0,247.5,120.0,78.5,1.0,3270.0,14.5,20.0
6.0,189.5,90,79.5,1,2910.0,16.5,25.0
6.0,271.5,120,78.0,1.0,3555.0,18.0,15.0
6.0,198.5,92.5,68.5,1.0,2705.0,15,20.0
6,199,97,68.5,1.0,2673.0,15.5,20.0
6.0,182.0,90,70.0,1.0,2648,15.0,20.0
6,200,85.0,69.0,1.0,2431.5,14.5,20.0
6.0,242.0,107.5,71,1,3417.0,15,20.0
6.0,215.5,100,69.5,1.0,3280.5,15.0,20.0
6.0,219.0,92.5,70.5,1.0,2238.5,13,20.0
6.0,171.5,107,74.5,1.0,2542.5,14.0,20.0
6.0,198,91.5,73.0,1.0,3062.5,16.5,20.0
6.0,203.0,113.5,74.5,1.0,3033.0,15.5,20.0
6.0,231.5,100,73,1.0,2975.5,16,20.0
6,210.5,106.0,73.0,1.0,2573.0,14.0,20.0
6.0,250,100,73.0,1,3060.5,17.5,20.0
6,250,88,72.5,1,2992.0,16.5,20.0
6.0,258.0,116.0,74.0,1.0,3760.5,19.0,20.0
6.0,263.0,100,74.0,1.0,3701.5,17,20.0
6,241.0,100.0,74,1.0,3592.5,16.0,20.0
6.0,232,100,74.0,1,2753.0,15.5,20.0
6,239.5,56.5,74,1.0,3613,16,20
6.0,227.0,4.0,73.5,1.0,3189.5,18.0,20.0
6.0,168.0,88.5,74.0,1.0,3102,12.5,20.0
6.0,243.5,157.5,75.5,1.0,4362.0,22.0,20.0
6.0,241.5,95,75.5,1.0,3785,19,20.0
6,225,91.0,75,1.0,2949.5,15.0,20.0
6,171,44.5,75.0,1.0,2615.0,14,20.0
6.0,218.0,110,75.0,1,2631.0,15,20.0
6,241.0,90,75.0,1,3702.5,18.0,20.0
6.0,235.0,100,74.5,1,2608.0,16,20.0
6.0,240.5,88.0,74.5,1.0,3164.5,18.0,20.0
6.0,237.5,69.5,75.5,1.0,3035.0,19,20.0
6.0,250.0,105.0,75.5,1.0,3834.0,18,20.0
6,259.5,102.5,75.0,1,3888.0,16,20.0
6.0,258.0,115.0,74.5,1.0,3644.5,18.5,20.0
6.0,212.0,95.0,76.0,1.0,3243.0,15.5,20.0
6.0,234.0,102.5,76,1.0,3505.5,15.0,20.0
6,222.5,109.0,76.0,1.0,3025.5,15.0,20.0
6,250,64.0,75.5,1,3464.5,21,20.0
6.0,246.0,111.5,76.5,1.0,3811.0,17.0,20.0
6,255.0,111.0,76.0,1.0,3353,14.0,20.0
6,258.0,95.0,76.5,1.0,3193,17.0,20
6.0,250.0,116.0,76.5,1.0,3580.0,14.5,20.0
7.0,255.0,98.0,77,1,3795.0,20.5,20
8.0,260,111.5,77.5,1.0,4226.0,19,20.0
8.0,277.5,112.0,78.0,1.0,3425.0,15,20.0
8.0,260,77.5,78.5,1.0,3187.5,22.0,20.0
8.0,267.0,125,79.5,1.0,3632.5,18.5,20
8.0,279.5,109.0,79.0,1.0,3725,13,20.0
8.0,289.0,145.0,78.0,1.0,3892.5,15,15.0
8.0,316.5,134.5,79,1.0,3772.5,14.0,20.0
8.0,331.0,102.5,81.0,1.0,3607.5,19.0,30.0
6,250.0,100.0,71.0,1.0,3247.5,14.5,20
5.0,216.0,57.0,70.5,1,2751.5,14.5,25.0
6.0,249.0,83.0,71.0,1.0,3613.0,15,15.0
6.0,250,100.0,71.0,1,3282,13.5,25.0
6,259.5,100.0,71.0,1,2962,14.5,15.0
8.0,307.5,140,72.0,1.0,4312.5,15.5,15.0
8,304,150,72,1,3708.5,12,20
7.0,278.0,124.0,72.5,1.0,3598.5,13.5,20.0
9.0,307,150.0,72.5,1.0,4684.5,14.0,10.0
8.0,318.0,150,72.0,1.0,4172.0,14.5,10.0
7.0,292.0,150,72.5,1.0,4075.0,15.5,20.0
8.0,302.0,146.0,70.0,1.0,3439.0,10,20.0
8.0,302.5,193,70.0,1.0,4696.5,18.0,10.0
8.0,302.5,146.5,70,1.0,3433,13.5,20.0
8.0,307,190.0,70,1.0,4080.0,15,15.0
8.0,300.0,130,69.5,1.0,3822.0,14.5,20.0
8.0,312.5,110.0,71.0,1.0,3657.0,13,15.0
8.0,311.0,210,69.5,1.0,4050.5,12.5,15.0
8.0,323.5,146.5,70.5,1.0,3708.5,13.5,20.0
8.0,323.5,157.5,70.5,1,3932.0,9.0,5.0
8,350,165,71,1,4186.0,12,10
8.0,317.5,155.0,70,1,3629.5,11.5,20.0
8.0,351,158.0,71.0,1.0,4240.5,11.5,10
8.0,360,209.0,70,1.0,4615,14.5,10.0
8.0,362.0,137.5,70.0,1,2973.5,10,20
8,309.0,145.0,76.0,1.0,4542.5,14.0,15.0
8,295.0,115.0,76,1.0,3622.5,15.0,15.0
8.0,305.5,125.5,76.5,1.0,3962,13,25.0
8.0,305.0,145.5,75.5,1.0,4215,15.0,20.0
8.0,260.5,105.0,75.0,1,3221,14.0,20
8.0,301.5,119.0,75.0,1.0,3042.5,12.0,10.0
8.0,318.0,150.0,75.0,1.0,4249.5,13.0,20
8,282.0,130.0,73.5,1,4313.5,15.0,15.0
8.0,310.0,140,74,1.0,4805.5,14,25.0
8.0,303.0,155.0,74,1.0,4211.0,16.0,5.0
8.0,317.0,145.0,74.0,1.0,4399.0,13,10
8.0,302.0,137,74.0,1.0,3658.0,13.5,10.0
8.0,304.0,150.0,73.0,1.0,3254.5,11,10.0
8.0,318,165.0,73.0,1.0,4180.5,13.5,5.0
8.0,325.0,150.0,73,1.0,4059.5,13.5,20.0
8.0,318.0,150.0,73.0,1.0,3629.0,11,15.0
8,343.0,180,73.0,1.0,3800.5,11.0,5.0
8,350.0,180.0,73.0,1,4499,13.5,5.0
8.0,350.0,182.5,73,1.0,4334.0,13.0,10.0
8.0,350.0,145,72.5,1.0,4166.0,13.0,10.0
8.0,350.5,139.0,73.0,1,4009.5,13.5,20
8.0,350.0,145.0,72.0,1.0,4447.0,13.0,15.0
8.0,350.5,169.0,71.5,1,4274,12.0,10
8.0,350.0,162.5,72,1.0,4689.0,13.0,5.0
8,351.0,160.5,72.5,1.0,3951.0,13.0,10
8.0,333.5,155,79,1,4422.5,14.0,20.0
8.0,350,125,78.5,1.0,3658.0,16.0,20.0
8.0,380.0,147.5,79.5,1.0,4239.0,14.5,20.0
8.0,346.5,134.0,79.0,1.0,4012.0,13,20.0
8.0,360,142.5,79,1.0,3627.5,12.5,20.0
8.0,304.5,138.5,78.0,1.0,3397.5,15.0,20.0
8.0,302,139,78.5,1.0,3315.0,11.0,20.0
8.0,326.0,154.5,77.5,1.0,4050.0,12.0,20.0
8,316.5,137.0,78,1,4080,13,20.0
8.0,290.5,137.5,77.5,1.0,3735,13.0,20.0
8.0,371.0,175.0,77.5,1,4267.5,11.0,20
8.0,297.0,144.5,77.0,1.0,3797.5,11.5,20
8.0,366.0,145,75.0,1.0,4440,13.0,20.0
8.0,367.0,145.5,75,1.0,4807.0,13,10.0
8.0,318,151.5,76.0,1.0,4048.5,12.5,10
8,318.0,150,76.0,1.0,3630.0,14.0,5.0
8.0,301.5,151.0,76.5,1.0,3831.5,13.0,20.0
8.0,333.5,146.0,76,1.0,3821.5,12.0,15.0
8,350,182.0,76.0,1.0,4477.5,12.5,20.0
8.0,375.5,172.5,76.0,1.0,4210.0,11.0,10.0
8.0,400.0,168.5,75.5,1.0,4728.0,12.0,25.0
8,293.5,126.0,76.5,1,4140,13.0,15.0
8,392.0,166.5,77.0,1.0,4375.0,13.0,20.0
8.0,400,179.5,78.0,1.0,4325,12,20.0
8.0,400.0,190.0,78.0,1.0,4048.5,11,20.0
8.0,382.5,185.0,70.0,1.0,3850,8,20.0
8,400,137.5,70.0,1.0,3530.0,9,25.0
8.0,437.5,183.0,70,1.0,3744.0,10,25.0
8.0,445.0,207.5,70.5,1.0,4619.0,9.5,5.0
8.0,425.5,220,70,1.0,4354,10.5,10.0
8.0,442.5,214.0,70.0,1.0,4418.5,10.5,15.0
8.0,427.5,200.0,70.5,1.0,3443.5,11.0,10.0
8.0,383,190.0,70.5,1.0,4955,9.0,15.0
8.0,392.5,165.0,71,1.0,5359.0,11.0,10.0
8.0,372.5,147.5,71,1,5300.5,13.0,10.0
8,400.0,185.0,71.5,1,4302.0,11.0,10.0
8.0,400,190,72.0,1,4667.5,12.0,10.0
8.0,345.5,141.5,74.0,1.0,4970.0,14,10
8.0,351.0,155.5,73.0,1.0,4779.5,14.0,10.0
8.0,360,176.5,73.0,1.0,3695.0,11.5,10.0
8.0,365.0,170,73,1.0,4654,11.5,10.0
8.0,400,147.5,73.0,1.0,5413.5,15.0,10
8.0,424.5,163.0,73.0,1,5223.0,12.5,10.0
8.0,427.5,147.5,73.0,1.0,4800.5,13.0,5.0
8.0,400,197.5,73.0,1,4142.5,9.5,20.0
8,400,175,72,1,4385,12,10
8.0,429.0,225.5,73,1,4898.5,9.5,15.0
8.0,440,206.5,72.5,1.0,4576.0,11.0,10.0
8.0,409.0,175.5,72.0,1,4497.5,11.5,10.0
8.0,460.5,233.5,73.0,1.0,4842.5,11.0,10.0
