Clndrs,Volume,HpX,Model,origin,Lbs-,Acc+,Mpg+,bin_name,bin_num
8,351.0,152,76,1,4215,12.8,10,8,8
8,350.0,165,70,1,3693,11.5,20,8,8
8,429.0,198,70,1,4341,10.0,20,8,8
8,390.0,190,70,1,3850,8.5,20,8,8
8,383.0,170,70,1,3563,10.0,20,8,8
8,400.0,150,70,1,3761,9.5,20,8,8
8,318.0,150,72,1,4135,13.5,20,8,8
8,304.0,150,72,1,3892,12.5,20,8,8
8,318.0,150,73,1,3777,12.5,20,8,8
8,350.0,145,73,1,4082,13.0,20,8,8
8,318.0,150,73,1,3399,11.0,20,8,8
6,250.0,100,74,1,3336,17.0,20,7,5
6,250.0,72,75,1,3432,21.0,20,7,5
6,250.0,72,75,1,3158,19.5,20,7,5
8,350.0,145,75,1,4440,14.0,20,8,8
6,258.0,110,75,1,3730,19.0,20,7,5
8,302.0,130,77,1,4295,14.9,20,8,7
8,304.0,120,76,1,3962,13.9,20,8,7
8,318.0,145,77,1,4140,13.7,20,8,7
8,350.0,170,77,1,4165,11.4,20,8,8
8,400.0,190,77,1,4325,12.2,20,8,8
8,351.0,142,79,1,4054,14.3,20,8,8
8,304.0,150,70,1,3433,12.0,20,8,8
6,225.0,105,71,1,3439,15.5,20,7,6
6,250.0,100,73,1,3278,18.0,20,7,5
8,400.0,230,73,1,4278,9.5,20,8,8
6,250.0,100,74,1,3781,17.0,20,7,5
6,258.0,110,74,1,3632,18.0,20,7,5
8,302.0,140,74,1,4141,14.0,20,8,7
8,400.0,170,75,1,4668,11.5,20,8,8
8,318.0,150,75,1,4498,14.5,20,8,7
6,250.0,105,75,1,3897,18.5,20,7,5
8,318.0,150,76,1,4190,13.0,20,8,7
8,400.0,180,77,1,4220,11.1,20,8,8
8,351.0,149,77,1,4335,14.5,20,8,8
6,163.0,133,78,2,3410,15.8,20,6,6
6,168.0,120,76,2,3820,16.7,20,5,6
8,350.0,180,76,1,4380,12.1,20,8,8
8,351.0,138,79,1,3955,13.2,20,8,8
8,350.0,155,79,1,4360,14.9,20,8,8
8,302.0,140,70,1,3449,10.5,20,8,8
6,250.0,100,71,1,3329,15.5,20,7,6
8,304.0,150,72,1,3672,11.5,20,8,8
6,231.0,110,75,1,3907,21.0,20,7,5
8,260.0,110,77,1,4060,19.0,20,8,7
6,163.0,125,78,2,3140,13.6,20,6,6
8,305.0,130,79,1,3840,15.4,20,8,7
8,305.0,140,76,1,4215,13.0,20,8,7
6,258.0,95,76,1,3193,17.8,20,7,5
8,305.0,145,77,1,3880,12.5,20,8,7
6,250.0,110,77,1,3520,16.4,20,7,5
8,318.0,140,78,1,4080,13.7,20,8,7
8,302.0,129,79,1,3725,13.4,20,8,7
6,225.0,85,81,1,3465,16.6,20,8,7
6,231.0,165,78,1,3445,13.4,20,7,5
8,307.0,130,70,1,3504,12.0,20,8,8
8,318.0,150,70,1,3436,11.0,20,8,8
6,199.0,97,70,1,2774,15.5,20,7,6
6,232.0,100,71,1,3288,15.5,20,7,6
6,258.0,110,71,1,2962,13.5,20,7,6
6,250.0,88,71,1,3139,14.5,20,7,6
4,121.0,112,72,2,2933,14.5,20,5,6
6,225.0,105,73,1,3121,16.5,20,7,5
6,232.0,100,73,1,2945,16.0,20,7,5
6,250.0,88,73,1,3021,16.5,20,7,5
6,232.0,100,73,1,2789,15.0,20,7,5
3,70.0,90,73,3,2124,13.5,20,7,2
6,225.0,105,74,1,3613,16.5,20,7,5
6,250.0,105,75,1,3459,16.0,20,7,5
6,225.0,95,75,1,3785,19.0,20,7,5
6,171.0,97,75,1,2984,14.5,20,7,5
6,250.0,78,76,1,3574,21.0,20,7,5
6,258.0,120,78,1,3410,15.1,20,7,5
8,302.0,139,78,1,3205,11.2,20,8,7
8,318.0,135,79,1,3830,15.2,20,8,7
6,250.0,110,76,1,3645,16.2,20,7,5
6,250.0,98,77,1,3525,19.0,20,7,5
8,360.0,150,79,1,3940,13.0,20,8,8
6,225.0,110,78,1,3620,18.7,20,7,5
6,232.0,100,71,1,2634,13.0,20,7,6
6,250.0,88,71,1,3302,15.5,20,7,6
6,250.0,100,71,1,3282,15.0,20,7,6
3,70.0,97,72,3,2330,13.5,20,7,3
4,122.0,85,73,1,2310,18.5,20,7,5
4,121.0,112,73,2,2868,15.5,20,5,6
6,232.0,100,74,1,2901,16.0,20,7,5
6,225.0,95,75,1,3264,16.0,20,7,5
6,232.0,90,75,1,3211,17.0,20,7,5
4,120.0,88,76,2,3270,21.9,20,5,6
6,156.0,108,76,3,2930,15.5,20,7,2
6,225.0,100,77,1,3630,17.7,20,7,5
6,225.0,90,80,1,3381,18.7,20,8,7
6,231.0,105,78,1,3535,19.2,20,7,5
8,305.0,145,78,1,3425,13.2,20,8,7
8,267.0,125,79,1,3605,15.0,20,8,7
8,318.0,140,78,1,3735,13.2,20,8,7
6,232.0,90,78,1,3210,17.2,20,7,5
6,200.0,85,79,1,2990,18.2,20,7,5
8,260.0,110,78,1,3365,15.5,20,8,7
4,140.0,90,72,1,2408,19.5,20,7,5
4,97.0,88,73,3,2279,19.0,20,7,2
4,114.0,91,73,2,2582,14.0,20,5,6
6,156.0,122,73,3,2807,13.5,20,7,3
6,198.0,95,74,1,3102,16.5,20,7,5
8,262.0,110,75,1,3221,13.5,20,8,7
6,232.0,100,75,1,2914,16.0,20,7,5
6,225.0,100,76,1,3651,17.7,20,7,5
4,130.0,102,76,2,3150,15.7,20,5,6
8,302.0,139,78,1,3570,12.8,20,8,7
6,200.0,85,78,1,2965,15.8,20,7,5
6,232.0,90,79,1,3265,18.2,20,8,7
6,200.0,88,81,1,3060,17.1,20,8,7
5,131.0,103,78,2,2830,15.9,20,6,6
6,231.0,105,77,1,3425,16.9,20,7,5
6,200.0,95,78,1,3155,18.2,20,7,5
6,225.0,100,78,1,3430,17.2,20,7,5
6,231.0,105,78,1,3380,15.8,20,7,5
6,225.0,110,79,1,3360,16.6,20,8,7
6,200.0,85,78,1,3070,16.7,20,7,5
6,200.0,85,70,1,2587,16.0,20,7,6
6,199.0,90,70,1,2648,15.0,20,7,6
4,122.0,86,72,1,2226,16.5,20,7,5
4,120.0,87,72,2,2979,19.5,20,5,6
4,140.0,72,73,1,2401,19.5,20,7,5
6,155.0,107,73,1,2472,14.0,20,7,5
6,200.0,?,74,1,2875,17.0,20,7,5
6,231.0,110,75,1,3039,15.0,20,7,5
4,134.0,95,78,3,2515,14.8,20,7,1
4,121.0,110,77,2,2600,12.8,20,5,6
3,80.0,110,77,3,2720,13.5,20,7,1
6,231.0,115,79,1,3245,15.4,20,8,7
4,121.0,115,78,2,2795,15.7,20,5,6
6,198.0,95,70,1,2833,15.5,20,7,6
4,140.0,72,71,1,2408,19.0,20,7,5
4,121.0,76,72,2,2511,18.0,20,5,6
4,122.0,86,72,1,2395,16.0,20,7,5
4,108.0,94,73,3,2379,16.5,20,7,2
4,121.0,98,75,2,2945,14.5,20,5,6
6,225.0,100,76,1,3233,15.4,20,7,5
6,250.0,105,76,1,3353,14.5,20,7,5
6,146.0,97,77,3,2815,14.5,20,7,2
6,232.0,112,82,1,2835,14.7,20,8,7
4,140.0,88,79,1,2890,17.3,20,7,5
6,231.0,110,81,1,3415,15.8,20,8,7
6,232.0,90,76,1,3085,17.6,20,7,5
4,122.0,86,71,1,2220,14.0,20,7,5
4,97.0,54,72,2,2254,23.5,20,5,6
4,120.0,97,72,3,2506,14.5,20,7,3
6,198.0,95,73,1,2904,16.0,20,7,5
4,140.0,83,75,1,2639,17.0,20,7,5
4,140.0,78,75,1,2592,18.5,20,7,5
4,115.0,95,75,2,2694,15.0,20,5,6
4,120.0,88,75,2,2957,17.0,20,5,6
8,350.0,125,79,1,3900,17.4,20,8,8
4,151.0,?,82,1,3035,20.5,20,8,6
4,156.0,105,78,1,2745,16.7,20,7,5
6,173.0,110,81,1,2725,12.6,20,8,7
4,140.0,?,80,1,2905,14.3,20,7,5
3,70.0,100,80,3,2420,12.5,20,7,2
4,151.0,85,78,1,2855,17.6,20,7,5
4,119.0,97,78,3,2405,14.9,20,7,1
8,260.0,90,79,1,3420,22.2,20,8,7
4,113.0,95,70,3,2372,15.0,20,7,3
4,107.0,90,70,2,2430,14.5,20,5,7
4,113.0,95,72,3,2278,15.5,20,7,3
4,116.0,75,73,2,2158,15.5,20,5,6
4,121.0,110,73,2,2660,14.0,20,5,6
4,90.0,75,74,2,2108,15.5,20,5,6
4,120.0,97,74,3,2489,15.0,20,7,2
4,134.0,96,75,3,2702,13.5,20,7,2
4,119.0,97,75,3,2545,17.0,20,7,2
6,200.0,81,76,1,3012,17.6,20,7,5
4,140.0,92,82,1,2865,16.4,20,8,6
6,146.0,120,81,3,2930,13.8,20,8,5
4,151.0,90,80,1,3003,20.1,20,7,5
4,98.0,60,76,1,2164,22.1,20,7,5
4,151.0,88,77,1,2740,16.0,20,7,5
4,110.0,87,70,2,2672,17.5,30,5,7
4,104.0,95,70,2,2375,17.5,30,5,7
4,113.0,95,71,3,2228,14.0,30,7,3
4,98.0,?,71,1,2046,19.0,30,7,5
4,97.5,80,72,1,2126,17.0,30,7,5
4,140.0,75,74,1,2542,17.0,30,7,5
4,90.0,71,75,2,2223,16.5,30,5,6
4,121.0,115,75,2,2671,13.5,30,5,6
4,116.0,81,76,2,2220,16.9,30,5,6
4,140.0,92,76,1,2572,14.9,30,7,5
6,181.0,110,82,1,2945,16.4,30,8,7
4,140.0,88,78,1,2720,15.4,30,7,5
5,183.0,77,79,2,3530,20.1,30,6,6
6,168.0,116,81,3,2900,12.6,30,8,5
4,122.0,96,77,1,2300,15.5,30,7,5
4,140.0,89,77,1,2755,15.8,30,7,5
4,156.0,92,81,1,2620,14.4,30,8,6
4,97.0,46,70,2,1835,20.5,30,5,7
4,121.0,113,70,2,2234,12.5,30,5,7
4,91.0,70,71,1,1955,20.5,30,7,5
4,96.0,69,72,2,2189,18.0,30,5,6
4,97.0,46,73,2,1950,21.0,30,5,6
4,98.0,90,73,2,2265,15.5,30,5,6
4,122.0,80,74,1,2451,16.5,30,7,5
4,79.0,67,74,2,1963,15.5,30,5,6
4,97.0,78,74,2,2300,14.5,30,5,6
4,116.0,75,74,2,2246,14.0,30,5,6
4,108.0,93,74,3,2391,15.5,30,7,2
4,98.0,79,76,1,2255,17.7,30,7,5
4,97.0,75,77,3,2265,18.2,30,7,1
4,156.0,92,82,1,2585,14.5,30,8,6
4,140.0,88,80,1,2870,18.1,30,7,5
4,140.0,72,76,1,2565,13.6,30,7,5
4,151.0,84,81,1,2635,16.4,30,8,6
8,350.0,105,81,1,3725,19.0,30,8,8
6,173.0,115,79,1,2700,12.9,30,7,5
4,97.0,88,70,3,2130,14.5,30,7,3
4,97.0,88,71,3,2130,14.5,30,7,3
4,97.0,60,71,2,1834,19.0,30,5,7
4,97.0,88,72,3,2100,16.5,30,7,3
4,101.0,83,76,2,2202,15.3,30,5,6
4,112.0,88,82,1,2640,18.6,30,8,6
4,151.0,90,82,1,2735,18.0,30,8,6
4,151.0,90,82,1,2950,17.3,30,8,6
4,140.0,86,82,1,2790,15.6,30,8,6
4,119.0,97,78,3,2300,14.7,30,7,1
4,141.0,71,79,2,3190,24.8,30,6,6
4,135.0,84,81,1,2490,15.7,30,8,6
4,121.0,80,79,1,2670,15.0,30,7,5
4,134.0,95,78,3,2560,14.2,30,7,1
4,156.0,105,80,1,2800,14.4,30,7,5
4,140.0,90,71,1,2264,15.5,30,7,5
4,116.0,90,71,2,2123,14.0,30,5,7
4,97.0,92,72,3,2288,17.0,30,7,3
4,98.0,80,72,1,2164,15.0,30,7,5
4,90.0,75,74,1,2125,14.5,30,7,5
4,107.0,86,76,2,2464,15.5,30,5,6
4,97.0,75,76,3,2155,16.4,30,7,1
4,151.0,90,80,1,2678,16.5,30,7,5
4,112.0,88,82,1,2605,19.6,30,8,6
4,120.0,79,82,1,2625,18.6,30,8,6
4,141.0,80,81,2,3230,20.4,30,6,6
4,151.0,90,79,1,2670,16.0,30,7,5
6,173.0,115,79,1,2595,11.3,30,7,5
4,68.0,49,73,2,1867,19.5,30,5,6
4,98.0,83,74,2,2219,16.5,30,5,6
4,97.0,75,75,3,2171,16.0,30,7,2
4,90.0,70,75,2,1937,14.0,30,5,6
4,85.0,52,76,1,2035,22.2,30,7,5
4,90.0,70,76,2,1937,14.2,30,5,6
4,97.0,78,77,2,1940,14.5,30,5,6
4,135.0,84,82,1,2525,16.0,30,8,6
4,97.0,71,76,2,1825,12.2,30,5,6
4,98.0,68,78,3,2135,16.6,30,7,1
4,134.0,90,80,3,2711,15.5,30,7,1
4,89.0,62,80,2,1845,15.3,30,6,6
4,98.0,65,81,1,2380,20.7,30,7,5
4,79.0,70,71,2,2074,19.5,30,5,7
4,88.0,76,71,2,2065,14.5,30,5,7
4,111.0,80,77,1,2155,14.8,30,7,5
4,97.0,67,77,3,1985,16.4,30,7,1
4,98.0,68,78,1,2155,16.5,30,7,4
4,146.0,67,80,2,3250,21.8,30,6,6
4,135.0,84,81,1,2385,12.9,30,8,6
4,98.0,63,77,1,2051,17.0,30,7,5
4,97.0,78,77,2,2190,14.1,30,5,6
6,145.0,76,81,2,3160,19.6,30,6,6
4,105.0,75,78,1,2230,14.5,30,7,4
4,71.0,65,71,3,1773,19.0,30,7,3
4,79.0,67,74,3,1950,19.0,30,7,2
4,76.0,52,74,3,1649,16.5,30,7,2
4,79.0,67,74,2,2000,16.0,30,5,6
4,112.0,85,82,1,2575,16.2,30,8,6
4,91.0,68,82,3,1970,17.6,30,8,5
4,119.0,82,82,1,2720,19.4,30,8,6
4,120.0,75,80,3,2542,17.5,30,7,1
4,98.0,68,77,3,2045,18.5,30,7,1
4,89.0,71,78,2,1990,14.9,30,5,6
4,120.0,74,81,3,2635,18.3,30,8,5
4,85.0,65,79,3,2020,19.2,30,7,1
4,89.0,71,79,2,1925,14.0,30,6,6
4,71.0,65,74,3,1836,21.0,30,7,2
4,83.0,61,74,3,2003,19.0,30,7,2
4,85.0,70,76,3,1990,17.0,30,7,1
4,91.0,67,82,3,1965,15.7,30,8,5
4,144.0,96,82,3,2665,13.9,30,8,5
4,135.0,84,82,1,2295,11.6,30,8,6
4,98.0,70,80,1,2120,15.5,30,7,5
4,108.0,75,80,3,2265,15.2,30,7,1
4,97.0,67,81,3,2065,17.8,30,7,2
4,107.0,72,80,3,2290,17.0,30,7,1
4,108.0,75,81,3,2350,16.8,30,7,2
6,168.0,132,80,3,2910,11.4,30,8,5
4,78.0,52,78,3,1985,19.4,30,7,1
4,119.0,100,81,3,2615,14.8,30,7,2
4,91.0,53,75,3,1795,17.5,30,7,2
4,91.0,53,76,3,1795,17.4,30,7,1
4,105.0,74,81,2,2190,14.2,30,6,6
4,85.0,70,77,3,1945,16.8,30,7,1
4,98.0,83,77,1,2075,15.9,30,7,5
4,151.0,90,79,1,2556,13.2,30,7,5
4,107.0,75,81,3,2210,14.4,30,7,2
4,97.0,67,80,3,2145,18.0,30,7,1
4,112.0,88,82,1,2395,18.0,30,8,6
4,108.0,70,82,3,2245,16.9,30,8,5
4,86.0,65,79,3,1975,15.2,30,7,1
4,91.0,68,81,3,1985,16.0,30,7,2
4,105.0,70,79,1,2200,13.2,30,7,5
4,97.0,78,80,2,2188,15.8,30,6,6
4,98.0,65,81,1,2045,16.2,30,7,5
4,105.0,70,79,1,2150,14.9,30,7,5
4,100.0,?,81,2,2320,15.8,30,6,6
4,105.0,63,81,1,2215,14.9,30,7,5
4,72.0,69,71,3,1613,18.0,40,7,3
4,122.0,88,80,2,2500,15.1,40,6,6
4,81.0,60,81,3,1760,16.1,40,7,1
4,98.0,80,79,1,1915,14.4,40,7,5
4,79.0,58,77,2,1825,18.6,40,5,6
4,105.0,74,82,2,1980,15.3,40,6,6
4,98.0,70,82,1,2125,17.3,40,8,6
4,120.0,88,82,3,2160,14.5,40,8,5
4,107.0,75,82,3,2205,14.5,40,8,5
4,135.0,84,82,1,2370,13.0,40,8,6
4,98.0,66,78,1,1800,14.4,40,7,4
4,91.0,60,78,3,1800,16.4,40,7,1
5,121.0,67,80,2,2950,19.9,40,6,6
4,119.0,92,80,3,2434,15.0,40,7,1
4,85.0,65,81,3,1975,19.4,40,7,1
4,91.0,68,82,3,2025,18.2,40,8,5
4,86.0,65,80,3,2019,16.4,40,7,1
4,91.0,69,79,2,2130,14.7,40,6,6
4,89.0,62,81,3,2050,17.3,40,7,2
4,105.0,63,82,1,2125,14.7,40,8,6
4,91.0,67,82,3,1965,15.0,40,8,5
4,91.0,67,82,3,1995,16.2,40,8,5
6,262.0,85,82,1,3015,17.0,40,8,7
4,89.0,60,80,3,1968,18.8,40,7,1
4,86.0,64,81,1,1875,16.4,40,7,5
4,79.0,58,81,3,1755,16.9,40,7,1
4,85.0,70,78,3,2070,18.6,40,7,1
4,85.0,65,80,3,2110,19.2,40,7,1
4,85.0,?,80,2,1835,17.3,40,6,6
4,98.0,76,80,2,2144,14.7,40,6,6
4,90.0,48,78,2,1985,21.5,40,5,6
4,90.0,48,80,2,2335,23.7,40,6,6
4,97.0,52,82,2,2130,24.6,40,6,6
4,90.0,48,80,2,2085,21.7,40,6,6
4,91.0,67,80,3,1850,13.8,40,7,1
4,86.0,65,80,3,2110,17.9,50,7,1
